fulltext|chapter|year|month|location,0.0,0.0
december dick and i have been staying with b in toronto for a few days when we left b there was a foot and a half of snow on the ground and we were quite prepared to spend the night in the train the first train took one hour to do the three miles between b and c it had two engines and only two cars however we were only an hour late taking six and a half hours to do 4 2 52 christmas ninety miles we had had a snowstorm during the whole of the two days before we left and it was just clearing a little when we did leave on the day before we left we had a shooting match which was almost extinguished by the snow we had to stand inside a building and shoot at a mark outside there were only four turkeys competed for and i got two and dick one we paid ten cents apiece for shots and we each had three shots we sold the turkeys to mrs b for fifty cents apiece the long boots which we brought out here are splendid i spent two days walking about in snow sometimes three or four feet deep and my feet never got damp by loosening the laces too we can make them quite warm the corduroy trousers are also very warm i expect when you receive this letter you will be making preparations for the christmas dinner such as stirring the plum pudding etc we were back at b in time to help in the big stir i was cutting up beef five or christmas 53 six days ago and i cut a round weighing over thirty pounds to be spiced for christmas do you know i am getting quite an expert butcher now i can cut up a beef quicker than you could believe when we returned to b we found that our work had become much easier sawing and splitting wood feeding horses and cattle and sleigh driving were our chief occupations as yet we have had no snow shoeing or skating but the sleighing o o o o is simply splendid you go along so smoothly with a light swinging motion and as it is cold you are able to let the horses go at full speed without their getting hot you asked in your last letter about white foxes once or twice they have come down as far as here but very seldom there are minx however and plenty of partridges and rabbits everything now is in a state of great preparation for christmas three great rounds of beef are being spiced in the cellar in the evening we go and help decorate the church as there is no holly 54 sleighing here all the decorations are in swamp cedar a tree which looks something like an arbor vitas the sleighing is very good now though the snow is only four inches deep lately we have been doing some teaming dick o o has charge of one team and i of another we have great fun sometimes when there are a lot of boys round they run and try to get on to the back of the sleigh and then we either go so fast as to prevent them getting on or swing them off going round the corners the sleighs are built like this j z7 g z the top of the sleigh is constructed so as to turn on the runners so that when you go sharply round a corner the back runners swing right round and run out to one side for a few moments it is almost impossible then to a little real cold 55 hold on to it here is a sketch of the position of a sleigh turning a corner|v winter occupations and amusements christmas sleighing a little real cold cow driving the sport here plans for going north west a few more hints to would be immigrants|1886|december|Ontario,0.035982008995502246,0.017991004497751123
december it was snowing hard all day here on christmas eve during the morning and the best part of the afternoon the snow was very soft and wetting we got nearly wet through the only things that did not let in the wet were the corduroys however about half past four it began to freeze ferociously and one s coat got as hard as a board and crackled when one moved one s arms about when i brought my team into the stable they were covered with snow and ice nearly an inch thick and i had to scrape it off with a large 56 a little real cold knife used for topping turnips that night the six o clock train passed b at twelve having been snowed up at a place thirty miles south of us we did not have an extra great time on christmas day we went in to service at ii and got out at 2 15 then we had a small sort of lunch and did nothing more till 5 30 when there was a great feed we had no work to do that day as we had arranged with the man who does most of the feeding that we should give him a goose and he o o should do all the work he proposed it and we were very glad to accept his offer thank you very much for the graphic and illustrated the pictures will very nearly finish covering the walls of our room which are half covered already we have got some really heavy snow here now and some pretty bad drifts last evening about 5 30 t and i started in the cutter a single horse sleigh to hold two or three to fetch p from a place four miles from here we had nearly arrived there when a little real cold si we got off the beaten track it was snowing so hard that i had to let the horse take his own way and trust to his keeping on the track and in less than half a minute we went slap into a deep drift the horse and cutter stopped dead and when we got out the snow was just up to our arm pits and i could only see part of the horse s neck and his head as we had lightened the cutter by getting out the horse managed to pull it through the drift and we started again with our pockets and clothes stuffed fiutof snow when we came back we managed to keep what little track there was but we had to walk the horse most of the way this morning six more inches of snow had fallen when we woke fortunately there was no wind but if it does blow at all the roads will be nearly impassable we are getting some pretty severe frosts now and f has already had occasion to have his nose rubbed with snow we are wearing jerseys over our shirts and under our 58 a little real cold waistcoats and when it gets really cold we shall start vests and cardigans too we have had one or two small blizzards i wish we could let one loose by way of effect on our friends at home they would never want another dose they are truly awful things the snow freezes in great lumps on your eyebrows and chin and nose every now and then you have to use your hands to open your eyes which get frozen up it is quite impossible to keep the snow from getting down your neck dick is getting horribly fat and lazy every evening nearly when he sits down in the sitting room he goes to sleep and snores loudly the misses b generally wake him up by dropping the cat on to his face or something of that kind|v winter occupations and amusements christmas sleighing a little real cold cow driving the sport here plans for going north west a few more hints to would be immigrants|1886|december|Ontario,0.029542097488921712,0.0413589364844904
january 1887 you are right in thinking it cold here on thursday the thermometer was at 150 f all day i wore a cap in the morning but in the afternoon a hood showing only my a little real cold 59 eyes and nose my breath condensed into a lump of ice half as big as my fist on the outside of the hood it was impossible to keep always at work about every ten minutes you had to stop and start jumping up and down and bang your arms round to get warm again even the milk got frozen in carrying it from the stables to the house a distance of about 150 yards ever since thursday night we have had a terrific blizzard blowing the snow is now three feet on the level and runs up to ten or fifteen feet in the drifts yesterday dick f and i were in the pleasure sleigh we got into a drift and broke three out of four traces in the afternoon we started to go to c and took an hour and a half to go a little over a mile then we got into a drift and stuck completely the snow being over the horses backs they were quite unable to move either themselves or the sleigh so we got out it looked most peculiar to see each one as he got out sink 6o a little real cold right down to his arm pits and his great loose ulster spread out on the snow alongside wte trampled the snow down by the horses then lifted the sleigh right round and went back when we arrived at home our faces were caked over with frozen snow leaving only a space for eyes and nose all to day they have been running single o o engines with snow ploughs on the railway track to keep it open no one thought the clergyman would be able to get here this o o morning from d five miles off but he did so arriving at about twelve he had taken over three hours and had to walk in front of his horse and sleigh most of the way of course there was no congregation so he went back|v winter occupations and amusements christmas sleighing a little real cold cow driving the sport here plans for going north west a few more hints to would be immigrants|1887|january|Ontario,0.03217821782178218,0.04455445544554455
january we are not having nearly such cold weather now as before generally there are only about 200 of frost during the day and 3 2 at night whereas we have been having a little real cold 61 6 or 8 below zero during the day and 190 or 200 below at night i will now proceed to gratify your heart by telling you what i am wearing on cold days 8 below zero i wear vest pants corduroys flannel shirt jersey waistcoat or cardigan and leather trimmed jacket high boots one pair of socks a pair of wool mitts a pair of buckskins and a cap this cap we only pull right over our faces during blizzards on comparatively warm days i wear the same minus the cardigan or waistcoat the work now consists in getting up at 6 30 or 7 grooming our respective teams of horses then breakfast at 7 30 the whole crowd of us together eleven in all after breakfast i feed the pigs then we harness our teams and draw chaff hay turnips or carrots from the barn or from pits in the fields as the case may be it is rather fun driving to the fields for in front of the gateway and all round it there is a large drift when the 62 a little real cold horses see this they make for it as hard as they can plunging and jumping in fine style in the snow which is often up to their backs sometimes they get in so deep that we have to drag their legs out or the sleigh or both standing up to our waists to do it after dinner we do the same till 5 20 then we take the horses to water feed pigs colts etc knock the snow and ice off their feet and come in about 6 30 and have tea it is gi eat fun to see the steam sn ow ploughs pass here on the railroad they come past at full speed and run full tilt into a drift which is often as high as the smoke stack after a short time amid a tremendous cloud of snow you see the plough appearing on the other side perfectly choked up with snow it has cut clean through the drift leaving a high wall on either side sometimes they have to charge two or three times at a drift before they can cut through it the passenger trains are often several hours late co w d riving 6 3|v winter occupations and amusements christmas sleighing a little real cold cow driving the sport here plans for going north west a few more hints to would be immigrants|1887|january|Ontario,0.030837004405286344,0.024229074889867842
february a few days ago p and i drove to mr l s to see a friend who has got work there mr l is supposed to have the best stables north of toronto they are certainly very nice and it is very easy to feed cattle and horses in them here it takes one man the whole day to feed thirty head while there one man in an hour and a half can do all that is necessary in the morning and the same at night our friend seemed to like his quarters very much he gets 5 a month and his board and in the summer he is to get 10 the other day i had a great time driving a cow down here from north l i think that i mentioned in a letter about the end of september that p and i took a cow there well i had to fetch it back i started at 7 a m and walked six miles to the railway track i caught the train at s which brought me to north l about 9 30 i then went and got the cow at once and started to lead it back home a dis 64 cow driving tance of some twenty miles as it had been kept in the stable and fed very well since september it was exceedingly lively and indeed during the first five hundred yards rolled me over three times in the snow after that however it cooled down and walked along quietly for the first four miles then it got tired and i had to pull it along by the halter it was terribly slow as the snow prevented us from going more than two miles an hour i got very hungry before we o j o got to s the first place where we could stop this we reached at about 2 30 after three quarters of an hour for food and rest both for myself and the cow and its calf for it had a calf we started on again the cow was still tired and the calf rather footsore so it was a slow business about half way there the cow stopped dead and refused to move an inch i was just wondering what on earth i should do when a man came along with three calves which he had brought from s o h the sport here s starting an hour after i did with his help i managed to get them the rest of the way though it was anything but easy work the cow was a very valuable animal a thoroughbred polled angus worth 200 three days ago we had another blizzard which left us another foot of snow to day the thermometer stands at io below zero but there is no wind and the sun is very hot and the sky as blue as in summer last night we went to a political meeting n the two candidates had both called a meeting at the same place and at the same time of course there was a row they both set to work to abuse each other at last the liberal had to go as things were getting a little too hot for him in your last letter you asked more particularly about the sport here we might have got some very decent deer hunting if we had had time two or three fellows from the neighbourhood made a camping out expedition to the mouth of the nottawasage river j 5 66 the sport here not very far from here they had a great time and shot several deer quite a number of wild duck and a few gangs of geese came in october and november but as they were very wild and everybody was out after them it was not easy to get a shot the fish to be obtained in the georgian bay are black bass which are caught with a spoon and give plenty of play white fish the same as pike to judge by appearance and caught in the same way there are also plenty of lake trout occasionally people use flies for these but most of the fish i m sorry to say are taken with nets in the mill streams and rivers there are plenty of chub for these i usually bait with a grass j o hopper and now i wish to tell you something of our plans for going north west in the spring when in toronto we asked the advice both of colonel d and the g they both said it was the best thing we could do flans for going north west 67 calgary in alberta is where we specially thought of going it is just east of the rockies and the climate is very much milder than here we thought of spending two years there and then if it still seemed advisable of going on to british columbia we could then decide which of the three we liked best before settling down for good british columbia the north west or ontario this we must do at once as all free land grants are to cease in 1890 though probably the time will be extended as to getting there we shall try and get a passage with some cattle men taking cattle up there employ several men to look after them and give them free passes over the railway if we cannot manage this we shall of course have to pay our fare which will be 50 by immigrant car we should have to have about 25 in our pockets when we got there altogether we should want about 125 twenty five pounds once there we shall board ourselves if we can that 5 2 68 plans for going north west will be cheaper than boarding out at 12 a month of course the man with whom we get work may give us board and lodging as well as wages but if we board ourselves we can do something in the way of keeping bees poultry and a cow i dare say the cooking would not be good at first but practice will improve that it would require some outlay to start this about 10 but we should more than get this back in six months time we feel that the sooner we learn to do for ourselves the better it will be we can get a shanty for 1 50 cents per month t seems to be learning quite the right kind of things in england horse shoeing oo o he will find most useful i only wish we had had time to learn it in fact we have thought of putting in a few months with a blacksmith ourselves he ought also to learn welding 0 o iron and steel brazing and tempering such things as the tines of a fork carpentering too is very useful what we learnt from more hints to would be immigrants 69 everson as the putting up a cow shed was invaluable he should be able to cobble a little and mend his own clothes bookkeeping is quite indispensable if you mean to run a farm gardening is also a good thing to know our outfit was just about complete some coarse cotton shirts as they keep out the thistles and the barley beards would have been an advantage flannel shirts make you like a pincushion directly a big fur cap round and large enough to cover the ears would also have been an advantage flannel shirts should be of very coarse material good flannel is useless some light strong breeches as well as corduroys are useful for the summer it is well not to have many cloth clothes and a light mackintosh is better than a heavy waterproof the india rubber baths which we did not bring would have been very useful 1|v winter occupations and amusements christmas sleighing a little real cold cow driving the sport here plans for going north west a few more hints to would be immigrants|1887|february|Ontario,0.047407407407407405,0.017037037037037038
february a short time ago we had a blizzard which lasted for four days it did not blow very cold but the snow drifted tremendously one day the mail train which was due at 12 20 passed at 3 a m the next morning next day mr b and i went up the mountain the roads were in grand condi tion the snow being drifted eight or nine feet deep in some places coming down one steep slope the horses slipped or rather sat down and we all had a sort of toboggan slide for about a hundred and fifty yards fortunately lumbering 7i the snow was deep enough to prevent our getting up any very great speed twice i had to jump out and hold up the cutter to prevent its upsetting soon we expect to go up there to haul lumber to the saw mill lately we have been drawing firewood from the bush it is first sawn into lengths of four feet and then split and piled on the sleigh crossways it is terrifically hard work for the horses as the loaded sleighs have to be drawn over trunks of trees and through the under bush there were also numbers of holes made by the tearing up of trees in the high wind we turned one load clean over and had to put it on again with the other load we did very well till we reached a big hole and then chuck went the front bob of the sleigh into the hole and weight and jerk together broke the centre of one of the side beams the wood was piled on again and then in trying to draw out of the hole the horses drew clean away from the sleigh and 1 lumbering bent the draw bolt which is quite an inch thick we had to chain them to the sleigh after that as we had no means of straightening the bolt but after a bit we got away all 0 o j right though the horse s legs were awfully cut about by their sharp shoes when they plunged into the deep snow|vi lumbering signs of spring cattle driving again storing ice reasons for thinking it best to move north west how to start in a small way r return of spring freeing the mill dam skunk|1887|february|Ontario,0.017857142857142856,0.04846938775510204
march the day before yesterday one of the yearling colts got upset into a manger in the stable and not being discovered it remained there for some hours on its back the whole time when we found it it was necessary to chop the manger down with an axe to get it out and then it was utterly unable to move we spent about two hours rubbing its back and legs then we rolled it into a flat kind of sleigh called a stone boat and brought it down to a warmer stable we gave it gruel and linseed tea several times during the even ing and it seemed so much better at ten o clock that we thought there was no need to mm signs of spring 73 sit with it but yesterday its head was awfully swollen and it could not eat in the evening we had to kill the poor beast as inflammation ofthe bowels set in that seldom lasts more than half an hour so it was better to put it out of its pain to day the chinook is blowing and we were able to dress with our window wide open only three days ago the thermometer was down to 20 below zero dick and i have started to teach ourselves book keeping as it would be little use to try to run a farm if we could not keep our books properly we found it pretty stiff at first but now we get on swimmingly we spend about an hour and a half at it every evening|vi lumbering signs of spring cattle driving again storing ice reasons for thinking it best to move north west how to start in a small way r return of spring freeing the mill dam skunk|1887|march|Ontario,0.04040404040404041,0.04377104377104377
march this morning dick and i had half an hour s skating but the ice was very poor it is the first we have had this winter sleighing is nearly gone now as the roads in some cattle driving again places are quite bare yesterday i drove a load of lumber to c we made a road for the occasion through fields covered with ice and over ploughed fields as well which were often bar it is ticklish work to avoid the stumps and stones when driving over bare places two days ago i started to walk up the mountain to meet some cattle about seven miles from here if they did not come i was to go on and bring them back next day they turned up all right and then came the business of driving them home they were completely tired out as they had already come some eight miles added to this the roads were in a frightful state two feet of soft snow in most places and where that had gone a foot of mud i had a very lively time the cattle tried to take every new road that we came to and made a rush for every gate however by dint of a long stick and incessant yelling i got them into a very obedient storing ice 75 state the boss has j ust sacked the man who did all the cattle feeding and milking or rather the man has just sacked the boss so the milking has again devolved on me to morrow we begin drawing ice from the o o lake it is cut into blocks about two feet cube and then about a ton and a half is put on to a sleigh we pack it all in an ice house fill up the cracks with small slips and then pour water to freeze it all solid after this we cover with eighteen inches of sawdust the ice will keep about fourteen months perhaps more dick and i are proceeding like a house on fire with the book keeping we can now do simple keeping and can balance and close the ledger do you know i have quite a reputation here as a doctor twice i have been asked to look at children as you are something of a doctor one had the measles and the other inflammation of the lungs you would be astonished at the sudden 76 reasons for moving north west changes of temperature which we have here the climate is very changeable much more so than in the north west so far as i can learn here are some temperatures taken at 7 a m february 21st 22nd 23rd 24th 25th 26th 27th 28th 8 mai 20 8 28 o 230 20 o 2nd 3rd 4th 5th 6th 7th 8th 12 34 16 6 18 2 2 34 200|vi lumbering signs of spring cattle driving again storing ice reasons for thinking it best to move north west how to start in a small way r return of spring freeing the mill dam skunk|1887|march|Ontario,0.01937984496124031,0.009689922480620155
march i was sorry to hear the unsatisfactory news which you gave of the x s i should have thought they would have succeeded if anyone would but it is very hard to make grain farming pay unless you have a very good capital to start with and besides this they have had very bad corn seasons lately in manitoba now about going north west first i must try and disabuse you of the notion that reasons for moving north west the work there is harder than it is here in this place the work begins at 6 a m sometimes at 4 30 on a small farm it begins regularly at 5 in both cases it continues till 8 or 9 at night as all the time you are working in conjunction with other men you have to work your best for if you fall behind it becomes twice as hard at once in the north west work on a cattle farm would begin about 5 and would not last so long except on extraordinary occasions perhaps once or twice a month we should require to be in the saddle all night as well as all day but the work would not require nearly so much strength as it would be chiefly herding cattle after the first trouble of getting used to spending so much time in the saddle it would not fall so heavily on us of work in the north west i only speak from what i have heard of the work here i have had experience still if we found cow boy life too hard we would try to get work on other 78 how to start in a small way farms this would not be hard i understand as to living it would be much the same as it is here of course we should hav to camp out a good deal at night but that would be a blessing and not a hardship if we go on to a ranche in the north west we could in a year or two save enough to start with as the wages there are high when we have done this we should take up a little land two to three hundred acres and keep bees poultry and a few cows also we could grow fruit in addition to this we should keep a team and for the first year or two one of us might hire j o out with the team by the day whenever we had no work of our own for it he would earn 2 or 3 a day and so would help the farm considerably this would require very little capital to start and is one of the most paying branches of farming the two of us could take up three hundred acres of land and by complying with the requirements of the land office by cultivating a part of how to start in a small way 79 it could in three years time get complete possession of it then if we found we wanted capital we could sell part of it say fifty acres which if you had worked pretty well and had land well situated would fetch from 500 to 1 000 you see therefore that time is a consideration to us everybody we meet advises us to go we shall earn good 0 o wages there as by that time we shall be competent book keepers here the wages are miserably poor people pay labourers as little as they can and get as much as possible out of them for that little though the boss has said several times that it is best to stay here he actually thought seriously at one time of giving up the farm here and going north west himself we shall get on well with riding there and after we have acquired some experience there of cattle there will be no difficulty in getting passes to british columbia if we should wish to try that another good reason for 8o how to start in a small way going is the climate here as the residents o o g themselves confess it is detestably changeable by the way we have both taken to wearing cholera belts so that the weather however suddenly it changes cannot affect our insides we are going to speak to the boss to night about getting off in the beginning of may and as to the chance of getting cattle passes as we shall be unable to let you know what way we go in time for your answer to reach us you had better send the 30 at once if everything goes as we hope we shall not have need for anything like this sum still it is best to be on the safe side and you may be sure that the money will not be spent unnecessarily the short time which we have put in in this country has taught us to be economical a cheque will i think be the best way though perhaps a draft is safer what you said about woollen underclothing is certainly right even on the hottest summer days when from the nature of our work we return of spring 81 have to wear cotton shirts a thin vest is always advisable you asked some questions about the way of living here for breakfast we have meat and bread and butter ad lib the meat during the winter is beef either fresh or salted at dinner meat potatoes sometimes cabbages or beans and turnips also puddings of different kinds occasionally soup takes the place of pudding for tea there is meat again fruit and bread and butter there is very little hardship about the living|vi lumbering signs of spring cattle driving again storing ice reasons for thinking it best to move north west how to start in a small way r return of spring freeing the mill dam skunk|1887|march|Ontario,0.03015075376884422,0.023115577889447236
april the winter has really broken uj here i think and the snow is disappearing fast the days now are splendidly warm as the sun is very strong but the nights till last night have still been pretty cold about 22 f of frost all the roads are about six inches deep in mud and water lambs are quite plentiful now and the birds are beginning to come back in fact we can both feel 82 return of spring and hear the spring returning we have been breaking in two three year old colts lately one has been in harness four times and has run away twice the other day i rather astonished him i wanted to take him down to the driving horses stable so i caught and bridled him i had quite a job to do it then when he stood still for a minute i jumped on his back he had never experienced anything of the sort before and did not know what on earth to do for about half a minute he stood stock still and then started to go backwards chiefly on his hind legs after doing this for a short time i got him to go forward in a sort of fashion but it was mostly sideways at last one of the men came up behind with a long stick and gave him a couple of whacks and off he went in fine style now he goes quite easily though it is not safe to make him canter or go beyond a slow trot as he would probably try some tricks and we don t want him to get s return of spring 83 into that way i do not get on him now as i m a bit too heavy for him the other colt has only been in harness once he has a pretty bad temper and it would take very little to make him kick furiously also he is as obstinate as a mule all this week dick and i have been cleaning wheat to send to the flour mill at c it is very slow sort of work one turns the crank of the fanning mill while the other keeps the hopper full when we get about fifty bushels cleaned we bag it up and start on another lot fifty bushels or twenty five bags make one load for a sleigh and a pretty heavy load too when the roads are bad drawing out manure from the stable yards has commenced now and we have done a good deal of it still it is not half bad sort of work after all though of course there are other things which are preferable mrs b has recommended that we should get some mittens made here of factory 6 2 84 freeing the mill dam yarn which costs about sixty cents a pound and have them faced with skeepskin she said she would get some of the people round here to knit them for some of our old clothes a good plan i think the ordinary berlin wool mittens cannot stand the rough wear though they are very good and warm to wear when not at work a pound of wool would make four pair the snow has not quite disappeared yet yesterday at noon the temperature was 68 f in the shade and at night it did not go below 5 2 this very moment it is 7 2 in the shade the thaw has been tremendously rapid and on friday which is usually kept as a sunday here we were working all the afternoon stopping ice at the water gate of the dam in order to let the water get away the ice had broken into blocks weighing about half a ton these kept striking against the planks so that we could not take them off we had to stand on the blocks which s freeing the mill dam 85 were swaying and heaving in a fairly lively way and chop the corners off so as to let the water carry them over the edge of the planks the really lively part was getting off after you had set them free and before they went over here is a little sketch of the dam c c c u 3 ii 1 a a a solid immovable woodwork height 12 to 14 feet b movable planks for letting the water go over faster or slower by taking them off or putting them on c c c upright studs against which the planks were held by the force of the water the ice jammed against the top of b so that the planks could 86 freeing the mill dam not be taken off blocks too large to go between c c c had to be stopped last night the ice jammed again and the water rose so high in consequence that it flowed over the top of the dam in several places further along the dam itself was only saved by the centre stud c giving way when of course all the middle planks went with it the height from the top of the planks is about 18 to 20 feet and the water falls on to a platform of large logs we are going to send you two or three skins the mink skin is almost large enough to make a muff you must be careful of it as it is worth something i have been offered 3 50 14 shillings for it already i shot it by the dam four or five days ago this morning we saw the first chipmunk we have seen since the winter began it is one that last summer used to sit on the edge of a roof just outside our window and this morning it appeared in its old place and chattered gait skunk 87 away in a manner peculiar to the species it evidently took a great interest in the dressing process for it watched us intently the whole time just as i was finishing this letter we had an alarm of skunk a fearful odour suddenly began to come in at the open windows and a cry of skunk arose at once dick rushed upstairs and came down with a loaded gun but we could not find the animal for it had made off but even out of doors it was not hard to tell that there had been one part ii exploring british columbia l|vi lumbering signs of spring cattle driving again storing ice reasons for thinking it best to move north west how to start in a small way r return of spring freeing the mill dam skunk|1887|april|Ontario,0.03667262969588551,0.02146690518783542
in their last letters the lads proposed the plan of going north west and gave some idea of the way in which they intended to work a few days after this an offer was made to them by an uncle in british columbia mr z and his wife who had gone there with a view to settling were at that time engaged in looking out for a suitable locality his proposal was to this effect that the lads should come and join him in exploring the island of texada if as he was inclined to think this island should prove a desirable place he further proposed that they should join him in running a farm of the same description as the 92 our journey to victoria one they thought of starting near calgary the offer was accepted and at the end of april they started to join their uncle at victoria the next letter which was written from victoria describes their journey to that place may as i have not much time i will describe our journey to this place by giving an extract from my diary i am afraid it is not very full but it is all i had time for tuesday|vii a change of plans our journey to victoria a rough voyage our destination at last|1887||British Columbia,0.01818181818181818,0.00909090909090909
april 26th rose at 7 a m had breakfast and finished packing after dinner we carried our baggage to the station came back and said good bye to the b s and then caught the train at 3 35 to b we arrived here about 6 p m and went to the house of a fellow we knew at 12 p m we caught the train for north bay which landed us there at 8 next morning we slept all twm our journey to victoria 93 night on seats without any cushions which were slightly uncomfortable wednesday the train which was to meet us was seven hours late owing to having a very heavy load of cars so we went off to the pacific hotel and had a very good breakfast for 20 cents each i don t think they got much change out of us then we strolled about the place and inspected the engine works which are very extensive after some dinner we stayed in the reading room till 3 30 and then went down to the station we got on a car which was going with our train but it was an hour before the train itself came in when it did come it shunted about till 6 30 at last we made a start for the west at first there was some very rocky country and we passed through two small tunnels the first i have seen in canada when we came to the first of these there was an awful uproar among the colonials probably they had 94 our journey to victoria never seen such a thing before during the night we managed to get to sleep but woke up at odd times thinking it was breakfast time three times at ii i and 3 did i wake up with this hope only to find that it was a horrid delusion thursday we woke finally at 4 o clock and spent the time till breakfast in looking out of the window the country now abounds with small lakes not less than one every mile of the track they were absolutely covered with wild fowl after breakfast alternately dozed and looked at the scenery which has become very rugged in the evening we arrived at port arthur there was just time to buy a loaf of bread when we started again friday at 7 next morning we arrived at rat portage we got out here and were driven in a large dray at full gallop to the queen s hotel here we had breakfast the country has now become rather flatter and is our journey to victoria 95 more or less heavily wooded near winnipeg itself it is almost absolutely level and void of trees at last we found ourselves upon the boundless prairies at 2 o clock we reached winnipeg here we found an immense crowd at the station we got out and rushed about to find the train for the west we were only just in time to get seats though the train did not start for another hour or more it was awfully crowded and for the first few stations many had to stand the country was if possible more level than before studded every now andi then with farmhouses one of these about thirty miles from winnipeg was on fire saturday we reached brandon about 7 in the evening here the thermometer stood at 70 in the shade the prairie here is rolling and hilly there are plenty of streams and pools which are covered with wild fowl brandon is a very nice place and is supposed our journey to victoria to be the most prosperous town in manitoba the prairies which have been a brown colour till now have begun to get greener there has been a scarcity of rain in these parts for a year or two all the prairie about here is strewed with buffalo bones many carloads of which are shipped to the sugar refineries during the morning we saw some deer and later a caravan of waggons going over the plain the plain is lined with old buffalo trails leading to the deepest pools which have water in summer there is still a little snow to be seen among the recesses of the hills our travelling is at an average rate of thirty miles an hour in the train dining car you can get a pretty good dinner for 75 cents soup salmon lamb four kinds of vegetables including green peas apple tart and dessert the country through which we have passed during the latter part of to day is covered with about an inch of snow the reason is our journey to victoria 97 that we have run into a snowstorm as we approached medicine hat the country became a good deal more varied and interesting in parts it was quite hilly at medicine hat some indians came and tried to sell polished buffalo horns whether they were real or not i can t say probably there were some of both after this the country again became absolutely flat and desolate apparently no settlements at all once we had to stop some time to allow a herd of cattle to get off the track about midnight we reached calgary naturally we could not see much of it directly we stopped crowds of people swarmed on to the cars to see who was there i got on to the platform for a moment and immediately a crowd of people poked their faces close to mine and inspected me so i got back again we started again in about twenty minutes sunday this morning we found ourselves 7 our journey to victoria entering the rockies as we go on the scenery becomes splendid on each side of us are great peaks covered with snow and with great masses of pine trees everywhere the snow is about three inches deep and the weather is rather cold the railway lies between two great ranges of hills thickly covered with pine forests the sun is just now rising and the snow topped mountain peaks standing out against the deep blue background of the sky look splendid as the light is thrown upon them occasionally we pass houses which are inhabited by men who have to look after the track we breakfasted at field about 1 30 after another halt we passed over a wooden bridge two hundred feet high we stopped once because of landslips which had to be shovelled out of the track the melting snow on the mountains makes the land very unstable when we went uphill we had an engine behind to help shove we passed two or three more bridges about two our journey to victoria 99 hundred and fifty feet high and then the highest on the c p r three hundred feet high it seemed awfully steep when we looked out of window as there is no railing at the side the line is now running along the edge of the cliff on one side there is the sheer rock and on the other a ravine about half a mile deep and two miles broad there is a river winding along the bottom of it and the banks are covered with pines the mountains here are about 10 000 feet above the sea level and 4 000 above the level of the plain we have just now been passing under huge sheds made to prevent the slidings of mountain snow carrying away the track these sheds cover in the track altogether the line here takes a most circuitous wind along by the foot of some tremendous peaks about every five hundred yards we cross a bridge over some awful precipice monday we woke at 5 a m and still found ourselves among the mountains but 7 2 our journey to victoria they are not quite so high now and then there are some clear spots and occasional chinese settlements we reached new westminster at 2 30 and caught the victoria steamer i was fortunately not ill we reached victoria at 9 30 the place swarms with chinese with enormous pig tails i can t write any more now to morrow we start early for texada being a party of five aunt k and uncle w herbert myself and a greek sailor texada island|vii a change of plans our journey to victoria a rough voyage our destination at last|1887|april|British Columbia,0.02545968882602546,0.02616690240452617
